TAZ,distr,AMshare,PMshare,OPshare
372,3,0.19,0.20,0.25
373,3,0.19,0.20,0.25
374,3,0.19,0.20,0.25
375,2,0.20,0.17,0.22
376,3,0.19,0.20,0.25
377,2,0.20,0.17,0.22
378,2,0.20,0.17,0.22
379,2,0.20,0.17,0.22
380,2,0.20,0.17,0.22
381,3,0.19,0.20,0.25
382,3,0.19,0.20,0.25
383,2,0.20,0.17,0.22
384,,,,
385,,,,
386,10,0.07,0.07,0.09
387,10,0.07,0.07,0.09
388,10,0.07,0.07,0.09
389,10,0.07,0.07,0.09
390,7,0.05,0.04,0.05
391,8,0.10,0.08,0.12
392,7,0.05,0.04,0.05
393,7,0.05,0.04,0.05
394,7,0.05,0.04,0.05
395,7,0.05,0.04,0.05
396,7,0.05,0.04,0.05
397,7,0.05,0.04,0.05
398,10,0.07,0.07,0.09
399,10,0.07,0.07,0.09
400,7,0.05,0.04,0.05
401,7,0.05,0.04,0.05
402,7,0.05,0.04,0.05
403,8,0.10,0.08,0.12
404,8,0.10,0.08,0.12
405,7,0.05,0.04,0.05
406,10,0.07,0.07,0.09
407,10,0.07,0.07,0.09
408,10,0.07,0.07,0.09
409,10,0.07,0.07,0.09
410,10,0.07,0.07,0.09
411,10,0.07,0.07,0.09
412,9,0.10,0.09,0.12
413,9,0.10,0.09,0.12
414,4,0.04,0.03,0.05
415,4,0.04,0.03,0.05
416,4,0.04,0.03,0.05
417,4,0.04,0.03,0.05
418,4,0.04,0.03,0.05
419,4,0.04,0.03,0.05
420,7,0.05,0.04,0.05
421,7,0.05,0.04,0.05
422,4,0.04,0.03,0.05
423,4,0.04,0.03,0.05
424,4,0.04,0.03,0.05
425,4,0.04,0.03,0.05
426,4,0.04,0.03,0.05
427,4,0.04,0.03,0.05
428,10,0.07,0.07,0.09
429,10,0.07,0.07,0.09
430,7,0.05,0.04,0.05
431,7,0.05,0.04,0.05
432,9,0.10,0.09,0.12
433,9,0.10,0.09,0.12
434,4,0.04,0.03,0.05
435,4,0.04,0.03,0.05
436,7,0.05,0.04,0.05
437,7,0.05,0.04,0.05
438,4,0.04,0.03,0.05
439,4,0.04,0.03,0.05
440,7,0.05,0.04,0.05
441,7,0.05,0.04,0.05
442,7,0.05,0.04,0.05
443,10,0.07,0.07,0.09
444,10,0.07,0.07,0.09
445,10,0.07,0.07,0.09
446,10,0.07,0.07,0.09
447,9,0.10,0.09,0.12
448,9,0.10,0.09,0.12
449,4,0.04,0.03,0.05
450,4,0.04,0.03,0.05
451,4,0.04,0.03,0.05
452,4,0.04,0.03,0.05
453,9,0.10,0.09,0.12
454,9,0.10,0.09,0.12
455,8,0.10,0.08,0.12
456,8,0.10,0.08,0.12
457,8,0.10,0.08,0.12
458,4,0.04,0.03,0.05
459,4,0.04,0.03,0.05
460,8,0.10,0.08,0.12
461,8,0.10,0.08,0.12
462,8,0.10,0.08,0.12
463,8,0.10,0.08,0.12
464,9,0.10,0.09,0.12
465,9,0.10,0.09,0.12
466,10,0.07,0.07,0.09
467,9,0.10,0.09,0.12
468,4,0.04,0.03,0.05
469,4,0.04,0.03,0.05
470,4,0.04,0.03,0.05
471,4,0.04,0.03,0.05
472,4,0.04,0.03,0.05
473,4,0.04,0.03,0.05
474,4,0.04,0.03,0.05
475,4,0.04,0.03,0.05
476,4,0.04,0.03,0.05
477,8,0.10,0.08,0.12
478,8,0.10,0.08,0.12
479,7,0.05,0.04,0.05
480,7,0.05,0.04,0.05
481,7,0.05,0.04,0.05
482,7,0.05,0.04,0.05
483,10,0.07,0.07,0.09
484,10,0.07,0.07,0.09
485,10,0.07,0.07,0.09
486,10,0.07,0.07,0.09
487,10,0.07,0.07,0.09
488,10,0.07,0.07,0.09
489,10,0.07,0.07,0.09
490,10,0.07,0.07,0.09
491,10,0.07,0.07,0.09
492,10,0.07,0.07,0.09
493,10,0.07,0.07,0.09
494,10,0.07,0.07,0.09
495,10,0.07,0.07,0.09
496,4,0.04,0.03,0.05
497,4,0.04,0.03,0.05
498,4,0.04,0.03,0.05
499,4,0.04,0.03,0.05
500,7,0.05,0.04,0.05
501,7,0.05,0.04,0.05
502,7,0.05,0.04,0.05
503,7,0.05,0.04,0.05
504,4,0.04,0.03,0.05
505,4,0.04,0.03,0.05
506,4,0.04,0.03,0.05
507,4,0.04,0.03,0.05
508,4,0.04,0.03,0.05
509,4,0.04,0.03,0.05
510,4,0.04,0.03,0.05
511,4,0.04,0.03,0.05
512,4,0.04,0.03,0.05
513,7,0.05,0.04,0.05
514,7,0.05,0.04,0.05
515,4,0.04,0.03,0.05
516,4,0.04,0.03,0.05
517,7,0.05,0.04,0.05
518,7,0.05,0.04,0.05
519,10,0.07,0.07,0.09
520,10,0.07,0.07,0.09
521,10,0.07,0.07,0.09
522,10,0.07,0.07,0.09
523,7,0.05,0.04,0.05
524,7,0.05,0.04,0.05
525,4,0.04,0.03,0.05
526,4,0.04,0.03,0.05
527,7,0.05,0.04,0.05
528,7,0.05,0.04,0.05
529,7,0.05,0.04,0.05
530,7,0.05,0.04,0.05
531,4,0.04,0.03,0.05
532,4,0.04,0.03,0.05
533,8,0.10,0.08,0.12
534,8,0.10,0.08,0.12
535,10,0.07,0.07,0.09
536,10,0.07,0.07,0.09
537,9,0.10,0.09,0.12
538,10,0.07,0.07,0.09
539,10,0.07,0.07,0.09
540,10,0.07,0.07,0.09
541,4,0.04,0.03,0.05
542,4,0.04,0.03,0.05
543,10,0.07,0.07,0.09
544,10,0.07,0.07,0.09
545,7,0.05,0.04,0.05
546,5,0.14,0.13,0.19
547,7,0.05,0.04,0.05
548,4,0.04,0.03,0.05
549,4,0.04,0.03,0.05
550,4,0.04,0.03,0.05
551,4,0.04,0.03,0.05
552,4,0.04,0.03,0.05
553,5,0.14,0.13,0.19
554,8,0.10,0.08,0.12
555,4,0.04,0.03,0.05
556,4,0.04,0.03,0.05
557,6,0.25,0.26,0.32
558,10,0.07,0.07,0.09
559,10,0.07,0.07,0.09
560,8,0.10,0.08,0.12
561,8,0.10,0.08,0.12
562,8,0.10,0.08,0.12
563,8,0.10,0.08,0.12
564,8,0.10,0.08,0.12
565,8,0.10,0.08,0.12
566,8,0.10,0.08,0.12
567,8,0.10,0.08,0.12
568,9,0.10,0.09,0.12
569,10,0.07,0.07,0.09
570,10,0.07,0.07,0.09
571,10,0.07,0.07,0.09
572,10,0.07,0.07,0.09
573,10,0.07,0.07,0.09
574,8,0.10,0.08,0.12
575,5,0.14,0.13,0.19
576,1,0.08,0.07,0.10
577,1,0.08,0.07,0.10
578,6,0.25,0.26,0.32
579,6,0.25,0.26,0.32
580,1,0.08,0.07,0.10
581,1,0.08,0.07,0.10
582,1,0.08,0.07,0.10
583,1,0.08,0.07,0.10
584,1,0.08,0.07,0.10
585,5,0.14,0.13,0.19
586,1,0.08,0.07,0.10
587,5,0.14,0.13,0.19
588,5,0.14,0.13,0.19
589,6,0.25,0.26,0.32
590,9,0.10,0.09,0.12
591,6,0.25,0.26,0.32
592,9,0.10,0.09,0.12
593,1,0.08,0.07,0.10
594,1,0.08,0.07,0.10
595,6,0.25,0.26,0.32
596,6,0.25,0.26,0.32
597,6,0.25,0.26,0.32
598,6,0.25,0.26,0.32
599,6,0.25,0.26,0.32
600,6,0.25,0.26,0.32
601,6,0.25,0.26,0.32
602,6,0.25,0.26,0.32
603,6,0.25,0.26,0.32
604,6,0.25,0.26,0.32
605,6,0.25,0.26,0.32
606,10,0.07,0.07,0.09
607,10,0.07,0.07,0.09
608,6,0.25,0.26,0.32
609,6,0.25,0.26,0.32
610,5,0.14,0.13,0.19
611,5,0.14,0.13,0.19
612,1,0.08,0.07,0.10
613,1,0.08,0.07,0.10
614,1,0.08,0.07,0.10
615,1,0.08,0.07,0.10
616,1,0.08,0.07,0.10
617,1,0.08,0.07,0.10
618,5,0.14,0.13,0.19
619,5,0.14,0.13,0.19
620,6,0.25,0.26,0.32
621,6,0.25,0.26,0.32
622,6,0.25,0.26,0.32
623,6,0.25,0.26,0.32
624,1,0.08,0.07,0.10
625,1,0.08,0.07,0.10
626,6,0.25,0.26,0.32
627,6,0.25,0.26,0.32
628,6,0.25,0.26,0.32
629,6,0.25,0.26,0.32
630,6,0.25,0.26,0.32
631,6,0.25,0.26,0.32
632,6,0.25,0.26,0.32
633,6,0.25,0.26,0.32
634,1,0.08,0.07,0.10
635,1,0.08,0.07,0.10
636,1,0.08,0.07,0.10
637,1,0.08,0.07,0.10
638,6,0.25,0.26,0.32
639,6,0.25,0.26,0.32
640,6,0.25,0.26,0.32
641,6,0.25,0.26,0.32
642,6,0.25,0.26,0.32
643,6,0.25,0.26,0.32
644,6,0.25,0.26,0.32
645,6,0.25,0.26,0.32
646,6,0.25,0.26,0.32
647,6,0.25,0.26,0.32
648,6,0.25,0.26,0.32
649,6,0.25,0.26,0.32
650,6,0.25,0.26,0.32
651,10,0.07,0.07,0.09
652,6,0.25,0.26,0.32
653,6,0.25,0.26,0.32
654,6,0.25,0.26,0.32
655,6,0.25,0.26,0.32
656,6,0.25,0.26,0.32
657,6,0.25,0.26,0.32
658,1,0.08,0.07,0.10
659,1,0.08,0.07,0.10
660,1,0.08,0.07,0.10
661,1,0.08,0.07,0.10
662,2,0.20,0.17,0.22
663,5,0.14,0.13,0.19
664,6,0.25,0.26,0.32
665,6,0.25,0.26,0.32
666,6,0.25,0.26,0.32
667,6,0.25,0.26,0.32
668,6,0.25,0.26,0.32
669,6,0.25,0.26,0.32
670,5,0.14,0.13,0.19
671,5,0.14,0.13,0.19
672,6,0.25,0.26,0.32
673,6,0.25,0.26,0.32
674,1,0.08,0.07,0.10
675,1,0.08,0.07,0.10
676,1,0.08,0.07,0.10
677,1,0.08,0.07,0.10
678,6,0.25,0.26,0.32
679,6,0.25,0.26,0.32
680,5,0.14,0.13,0.19
681,5,0.14,0.13,0.19
682,5,0.14,0.13,0.19
683,5,0.14,0.13,0.19
684,6,0.25,0.26,0.32
685,6,0.25,0.26,0.32
686,2,0.20,0.17,0.22
687,2,0.20,0.17,0.22
688,1,0.08,0.07,0.10
689,1,0.08,0.07,0.10
690,6,0.25,0.26,0.32
691,6,0.25,0.26,0.32
692,6,0.25,0.26,0.32
693,6,0.25,0.26,0.32
694,6,0.25,0.26,0.32
695,5,0.14,0.13,0.19
696,5,0.14,0.13,0.19
697,2,0.20,0.17,0.22
698,2,0.20,0.17,0.22
699,6,0.25,0.26,0.32
700,6,0.25,0.26,0.32
701,6,0.25,0.26,0.32
702,6,0.25,0.26,0.32
703,6,0.25,0.26,0.32
704,3,0.19,0.20,0.25
705,5,0.14,0.13,0.19
706,5,0.14,0.13,0.19
707,6,0.25,0.26,0.32
708,6,0.25,0.26,0.32
709,2,0.20,0.17,0.22
710,2,0.20,0.17,0.22
711,6,0.25,0.26,0.32
712,3,0.19,0.20,0.25
713,3,0.19,0.20,0.25
714,2,0.20,0.17,0.22
715,2,0.20,0.17,0.22
716,2,0.20,0.17,0.22
717,2,0.20,0.17,0.22
718,2,0.20,0.17,0.22
719,2,0.20,0.17,0.22
720,2,0.20,0.17,0.22
721,2,0.20,0.17,0.22
722,1,0.08,0.07,0.10
723,6,0.25,0.26,0.32
724,6,0.25,0.26,0.32
725,6,0.25,0.26,0.32
726,6,0.25,0.26,0.32
727,6,0.25,0.26,0.32
728,1,0.08,0.07,0.10
729,1,0.08,0.07,0.10
730,6,0.25,0.26,0.32
731,6,0.25,0.26,0.32
732,6,0.25,0.26,0.32
733,3,0.19,0.20,0.25
734,3,0.19,0.20,0.25
735,3,0.19,0.20,0.25
736,3,0.19,0.20,0.25
737,1,0.08,0.07,0.10
738,1,0.08,0.07,0.10
739,1,0.08,0.07,0.10
740,6,0.25,0.26,0.32
741,6,0.25,0.26,0.32
742,6,0.25,0.26,0.32
743,6,0.25,0.26,0.32
744,6,0.25,0.26,0.32
745,6,0.25,0.26,0.32
746,3,0.19,0.20,0.25
747,3,0.19,0.20,0.25
748,3,0.19,0.20,0.25
749,3,0.19,0.20,0.25
750,3,0.19,0.20,0.25
751,3,0.19,0.20,0.25
752,3,0.19,0.20,0.25
753,3,0.19,0.20,0.25
754,3,0.19,0.20,0.25
755,2,0.20,0.17,0.22
756,2,0.20,0.17,0.22
757,2,0.20,0.17,0.22
758,2,0.20,0.17,0.22
759,2,0.20,0.17,0.22
760,3,0.19,0.20,0.25
761,3,0.19,0.20,0.25
762,6,0.25,0.26,0.32
763,6,0.25,0.26,0.32
764,6,0.25,0.26,0.32
765,6,0.25,0.26,0.32
766,6,0.25,0.26,0.32
767,6,0.25,0.26,0.32
769,2,0.20,0.17,0.22
770,2,0.20,0.17,0.22
771,3,0.19,0.20,0.25
772,3,0.19,0.20,0.25
773,6,0.25,0.26,0.32
774,6,0.25,0.26,0.32
775,6,0.25,0.26,0.32
776,6,0.25,0.26,0.32
777,6,0.25,0.26,0.32
778,6,0.25,0.26,0.32
779,6,0.25,0.26,0.32
780,6,0.25,0.26,0.32
781,6,0.25,0.26,0.32
782,3,0.19,0.20,0.25
783,3,0.19,0.20,0.25
784,3,0.19,0.20,0.25
785,3,0.19,0.20,0.25
786,3,0.19,0.20,0.25
787,3,0.19,0.20,0.25
788,3,0.19,0.20,0.25
789,3,0.19,0.20,0.25
790,3,0.19,0.20,0.25
791,3,0.19,0.20,0.25
792,3,0.19,0.20,0.25
793,3,0.19,0.20,0.25
794,2,0.20,0.17,0.22
795,2,0.20,0.17,0.22
796,2,0.20,0.17,0.22
797,3,0.19,0.20,0.25
798,3,0.19,0.20,0.25
799,3,0.19,0.20,0.25
800,3,0.19,0.20,0.25
801,3,0.19,0.20,0.25
802,3,0.19,0.20,0.25
803,3,0.19,0.20,0.25
804,3,0.19,0.20,0.25
805,3,0.19,0.20,0.25
806,3,0.19,0.20,0.25
807,3,0.19,0.20,0.25
809,3,0.19,0.20,0.25
810,3,0.19,0.20,0.25
811,3,0.19,0.20,0.25
812,3,0.19,0.20,0.25
813,3,0.19,0.20,0.25
814,3,0.19,0.20,0.25
815,2,0.20,0.17,0.22
816,2,0.20,0.17,0.22
817,2,0.20,0.17,0.22
818,2,0.20,0.17,0.22
819,2,0.20,0.17,0.22
820,2,0.20,0.17,0.22
821,3,0.19,0.20,0.25
822,3,0.19,0.20,0.25
823,3,0.19,0.20,0.25
824,2,0.20,0.17,0.22
825,2,0.20,0.17,0.22
826,3,0.19,0.20,0.25
827,3,0.19,0.20,0.25
828,3,0.19,0.20,0.25
829,3,0.19,0.20,0.25
830,3,0.19,0.20,0.25
831,3,0.19,0.20,0.25
832,3,0.19,0.20,0.25
833,3,0.19,0.20,0.25
834,3,0.19,0.20,0.25
835,3,0.19,0.20,0.25
