,O,D,flow
536,39890,23623,1
537,5355,35300,1
538,5356,36335,1
539,24989,25795,1
540,27520,3403,1
541,27853,35890,1
542,37945,17186,1
543,16222,9004,1
544,18480,11927,1
545,11187,22645,1
546,30418,13653,1
547,27999,4692,1
548,27999,31973,1
549,27698,11006,1
550,14051,29079,1
551,27698,32944,1
552,14163,18598,1
553,15765,7363,1
554,15589,4225,1
555,19236,10774,1
556,18042,26549,1
557,12497,40186,1
558,3744,5140,1
559,3746,9001,1
560,36260,9167,1
561,35798,37476,1
562,36446,12964,1
563,19687,14175,1
564,22105,39531,1
565,4090,10563,1
566,36250,29331,1
567,28286,33868,1
568,28285,23421,1
569,24614,1685,1
570,12064,1672,1
571,23734,16116,1
572,8783,39535,1
573,33962,1957,1
574,21976,6611,1
575,11237,10540,1
576,33327,36803,1
577,19825,9017,1
578,27967,11923,1
579,20090,26651,1
580,33821,19399,1
581,11794,17556,1
582,30356,12075,1
583,29976,21700,1
584,19118,34815,1
585,36676,6259,1
586,30820,3168,1
587,7177,20181,1
588,34806,8448,1
589,2448,26392,1
590,4621,18016,1
591,19685,14538,1
592,33261,1103,1
593,14049,2009,1
594,21719,1103,1
595,32765,23058,1
596,11130,30640,1
597,11134,3144,1
598,13082,28827,1
599,14647,12748,1
600,17051,20306,1
601,16233,20308,1
602,25545,20303,1
603,16233,20305,1
604,23925,12001,1
605,8776,37531,1
606,11044,32937,1
607,1971,6590,1
608,18835,8711,1
609,40389,6812,1
610,12213,13367,1
611,21130,5354,1
612,19836,6517,1
613,22934,36385,1
614,14169,6746,1
615,5140,41281,1
616,28641,14751,1
617,3627,25693,1
618,25412,41949,1
619,27522,27049,1
620,1584,6256,1
621,5165,6253,1
622,1338,24656,1
623,22411,17286,1
624,8998,27507,1
625,23236,15094,1
626,23113,34013,1
627,13424,15119,1
628,23112,2420,1
629,19040,19927,1
630,19040,29079,1
631,26963,4534,1
632,8195,6313,1
633,10778,3725,1
634,29416,21577,1
635,31134,23878,1
636,19127,1150,1
637,20195,25746,1
638,16269,37405,1
639,32512,14691,1
640,40679,16327,1
641,38967,5362,1
642,32202,841,1
643,22327,26123,1
644,5618,28720,1
645,24682,15813,1
646,35328,37109,1
647,19128,37405,1
648,20394,20298,1
649,20977,18234,1
650,39434,552,1
651,33208,3774,1
652,5348,13678,1
653,14463,5138,1
654,27398,9001,1
655,5574,30544,1
656,21514,12747,1
657,24957,30979,1
658,32651,245,1
659,27886,2321,1
660,13678,27444,1
661,13192,35871,1
662,7902,14782,1
663,2564,24021,1
664,24376,35856,1
665,35219,7526,1
666,21876,28754,1
667,24191,16406,1
668,5123,24024,1
669,19162,32031,1
670,10497,20293,1
671,17915,7137,1
672,16932,36421,1
673,305,36421,1
674,30281,3932,1
675,32641,6509,1
676,870,7113,1
677,36240,22801,1
678,786,11897,1
679,26559,18840,1
680,16418,6380,1
681,8930,28084,1
682,19825,39797,1
683,19825,39783,1
684,24275,2985,1
685,11484,34897,1
686,11245,30061,1
687,5146,16426,1
688,23599,7271,1
689,39915,28188,1
690,10544,30979,1
691,32087,20302,1
692,5880,14741,1
693,16272,28808,1
694,10348,28811,1
695,13385,24964,1
696,34502,3223,1
697,32561,11810,1
698,19927,17628,1
699,1502,7541,1
700,16933,10357,1
701,23021,16931,1
702,17026,16931,1
703,9013,18276,1
704,17297,13175,1
705,1967,27500,1
706,22933,13173,1
707,12720,31324,1
708,4645,11922,1
709,13684,16216,1
710,12717,23715,1
711,4713,11923,1
712,13681,9022,1
713,37253,9021,1
714,39916,16909,1
715,1470,7080,1
716,26668,8988,1
717,28606,931,1
718,7077,32469,1
719,24705,35890,1
720,24705,35251,1
721,15858,3403,1
722,2001,17274,1
723,28306,36420,1
724,3088,6880,1
725,27812,28808,1
726,28907,28666,1
727,9609,30504,1
728,17295,3912,1
729,22238,1844,1
730,26668,39534,1
731,22115,7387,1
732,23878,8731,1
733,15931,22332,1
734,4552,12070,1
735,17165,17175,1
736,19036,3039,1
737,22077,20225,1
738,21401,35543,1
739,11201,24728,1
740,11202,28305,1
741,36460,13622,1
742,39355,3263,1
743,3538,23105,1
744,35627,32005,1
745,7123,20337,1
746,6023,6059,1
747,35627,36998,1
748,21367,9509,1
749,28828,2402,1
750,19911,15098,1
751,22198,2409,1
752,19909,2411,1
753,28908,22920,1
754,5998,18886,1
755,8891,23105,1
756,8904,3263,1
757,40944,7492,1
758,14055,34798,1
759,28593,37242,1
760,29252,19995,1
761,12114,14033,1
762,7140,40185,1
763,35544,25717,1
764,35549,7244,1
765,2013,17015,1
766,12399,5123,1
767,34857,25390,1
768,13362,27409,1
769,13351,37982,1
770,32677,6507,1
771,35620,25545,2
772,15452,7377,1
773,34189,32203,1
774,31345,20444,1
775,18961,40317,1
776,20362,4231,1
777,34934,24836,1
778,28815,5146,1
779,36848,28583,1
780,34373,11438,1
781,19693,36420,1
782,16621,31629,1
783,23291,31625,1
784,13349,23409,1
785,40878,14142,1
786,26235,30148,1
787,32089,30148,1
788,19636,9240,1
789,35564,6022,1
790,12035,19320,1
791,11202,22183,1
792,13406,10489,1
793,13969,30540,1
794,27811,40400,1
795,20260,4229,1
796,1980,4231,1
797,38907,32647,1
798,13213,27529,1
799,14169,8532,1
800,32073,18830,1
801,11924,24604,1
802,1259,10371,1
803,20673,13175,1
804,12675,1584,1
805,12277,15127,1
806,14050,37894,1
807,37002,19924,1
808,7165,28649,1
809,30060,14075,1
810,25283,1092,1
811,27402,21401,1
812,10487,10562,1
813,10486,8246,1
814,27540,27478,1
815,27386,23711,1
816,39824,5256,1
817,10607,8753,1
818,28296,9009,1
819,18032,40678,1
820,7073,17276,1
821,24148,17275,1
822,37275,15232,1
823,21255,39194,1
824,22239,11925,1
825,25845,7077,1
826,9407,27881,1
827,3595,27881,1
828,37956,1674,1
829,20199,8042,1
830,18598,38528,1
831,2823,14976,1
832,34163,23376,1
833,31497,15049,1
834,16234,15127,1
835,27999,1084,1
836,14731,30305,1
837,8755,11925,2
838,16326,23623,1
839,13377,23621,1
840,28681,34396,1
841,2259,7134,1
842,26154,14756,1
843,16751,28890,1
844,20938,14482,1
845,20941,28607,1
846,22076,26131,1
847,26613,38601,1
848,10489,10266,1
849,16222,7492,1
850,16220,12721,1
851,11790,13661,1
852,40185,21505,1
853,13167,27665,1
854,30053,17033,1
855,28296,19036,1
856,36864,4438,1
857,4524,10006,1
858,26169,4231,1
859,27483,19620,1
860,27486,20074,1
861,7904,8044,1
862,34371,9256,1
863,23626,13346,1
864,32956,2766,1
865,34479,32524,1
866,11864,12758,1
867,30835,32936,1
868,30823,32006,1
869,30823,36991,1
870,30820,32006,1
871,16750,36997,1
872,30795,12754,1
873,30795,18001,1
874,1907,11564,1
875,4645,37987,1
876,39987,40678,1
877,7499,40676,1
878,13668,37987,1
879,26097,38056,1
880,29455,28689,1
881,35619,19782,1
882,40389,16225,1
883,29397,11790,1
884,28075,16222,1
885,18829,16378,1
886,11897,16220,1
887,35619,16220,1
888,6160,36989,1
889,11468,21268,1
890,28284,9021,1
891,27009,13344,1
892,28814,36804,1
893,7378,25756,1
894,24889,8490,1
895,35245,3260,1
896,7443,23603,1
897,25843,25457,1
898,7833,41294,1
899,945,12646,1
900,33868,33924,1
901,29488,2646,1
902,24735,21363,1
903,12753,17273,1
904,21107,38484,1
905,21107,33822,1
906,12068,30844,1
907,28760,2233,1
908,41294,12064,1
909,30147,13205,1
910,12646,19709,1
911,38113,7080,1
912,6676,29113,1
913,7977,13317,1
914,17190,35979,1
915,35802,31603,1
916,24735,36998,1
917,7110,11908,1
918,12095,11175,1
919,12100,16791,1
920,15547,34994,1
921,24246,33821,1
922,27698,14961,1
923,28801,16227,1
924,25098,25052,1
925,11197,34802,1
926,3587,14721,1
927,2087,24031,1
928,3711,40999,1
929,26120,16274,1
930,16220,8903,1
931,10413,10554,1
932,6259,14072,1
933,9709,3087,1
934,10372,4595,1
935,24710,1672,1
936,6366,6762,1
937,22113,32522,1
938,35352,22267,1
939,31659,3871,1
940,33411,31134,1
941,1442,15260,1
942,23206,16369,1
943,35357,6399,1
944,28709,10771,1
945,30426,16336,1
946,19821,41748,1
947,17564,3605,1
948,33711,5107,1
949,12935,20556,1
950,6622,29078,1
951,28678,26460,1
952,17184,10562,1
953,38855,35245,1
954,19030,26460,1
955,1147,35245,1
956,7271,1701,1
957,14117,41780,1
958,37508,14691,1
959,18830,22411,1
960,11886,30044,1
961,30858,17196,1
962,10472,7280,1
963,21288,36335,1
964,21934,35250,1
965,10495,23642,1
966,12095,14982,1
967,6368,8679,1
968,36417,22198,1
969,25545,27090,1
970,811,25470,1
971,20373,22202,1
972,7955,11174,1
973,23149,36992,1
974,23279,28509,1
975,18692,30054,1
976,41989,11810,1
977,33894,1147,1
978,35995,35328,1
979,23922,26097,1
980,32438,27233,1
981,16900,3712,1
982,6809,9427,1
983,4042,11794,1
984,2243,24580,1
985,15457,26955,1
986,3914,29082,1
987,19020,33923,1
988,32221,35399,1
989,9309,21601,1
990,27349,17424,1
991,6960,41760,1
992,2024,2318,1
993,6452,3648,1
994,27401,11129,1
995,17618,23421,1
996,7080,19309,1
997,7080,13115,1
998,5681,9242,1
999,7080,19361,1
1000,39466,15894,1
1001,18530,19032,1
1002,36385,10003,1
1003,16868,13786,1
1004,25848,25033,1
1005,11892,26735,1
1006,18263,26120,1
1007,18266,37945,1
1008,7877,17188,1
1009,31042,17188,1
1010,31084,39884,1
1011,16328,31924,1
1012,34803,33279,1
1013,28285,8385,1
1014,28285,33504,1
1015,16778,15028,1
1016,6160,5114,1
1017,12505,23365,1
1018,32009,24136,1
1019,19142,2364,1
1020,31873,35724,1
1021,28526,35890,1
1022,8396,40692,1
1023,21999,11029,1
1024,30441,18377,1
1025,14175,20617,1
1026,31043,4522,1
1027,3263,4910,1
1028,24775,10569,1
1029,25700,9543,1
1030,10472,15870,1
1031,8583,9245,1
1032,13590,19037,1
1033,26085,19040,1
1034,32762,40943,1
1035,36381,20262,1
1036,39797,2460,1
1037,39809,14132,1
1038,4510,20902,1
1039,4510,27279,1
1040,5760,26153,1
1041,13449,7442,1
1042,24230,12130,1
1043,4230,12324,1
1044,4236,18940,1
1045,19907,37975,1
1046,8038,36488,1
1047,28516,30054,1
1048,36464,40128,1
1049,21431,10737,1
1050,29453,20923,1
1051,19040,39794,1
1052,17957,28826,1
1053,35125,24236,1
1054,34797,35772,1
1055,8015,14465,1
1056,6807,10381,1
1057,21969,3144,1
1058,34184,8727,1
1059,17170,19115,1
1060,10555,19115,1
1061,19624,7467,1
1062,34933,12773,1
1063,40317,22934,1
1064,11460,22934,1
