,O,D,flow
608,4036026258,1202379281,1
609,65350752,767745410,1
610,5283668870,1221046516,1
611,65353195,5000826415,1
612,65362185,3999273478,1
613,4045405631,317102881,1
614,3393386575,2957504178,1
615,4757430142,5062545204,1
616,1723564023,300761093,1
617,1723564011,4548596614,1
618,65349371,1723738859,1
619,1578907676,4014191221,1
620,763662665,65329892,1
621,65292425,300759009,1
622,4177158846,5294727784,1
623,65299069,4757430148,1
624,4016379791,32927585,1
625,65312401,4911554681,1
626,65312401,275724398,1
627,259138847,4406692066,1
628,65301534,4019097071,1
629,65284422,65308413,1
630,65368373,2503784609,1
631,65313365,4019009276,1
632,4941620882,65300097,1
633,4763953373,65342807,1
634,4763953411,65306993,1
635,65293542,65329980,1
636,65324934,65300097,1
637,4183593211,1723739089,1
638,65326702,258973943,1
639,5283668864,1196714592,1
640,54891397,65363166,1
641,5296831861,65317040,1
642,5296831609,65317040,1
643,4763953328,5026192923,1
644,65335722,2624373727,1
645,2069694255,65290795,1
646,3999365254,2503784609,1
647,65303546,1270745644,1
648,65303544,1270745629,1
649,1614316115,65331338,1
650,1723563940,65283492,1
651,5318541602,1207466276,1
652,65283647,4018840053,1
653,763662550,2143369213,1
654,2064190371,4730235597,1
655,945302582,65317040,1
656,3645272732,65326780,1
657,370849479,65326816,1
658,65318220,1578907716,1
659,763026589,5000827721,1
660,4759500437,65292780,1
661,4719395182,65356387,1
662,258757442,4179413931,1
663,65299109,295188917,1
664,4170187639,65374346,1
665,4763953415,4023155503,1
666,4763953377,65315415,1
667,4763953377,4694790277,1
668,5000827322,65293746,1
669,822610797,2156202804,1
670,4505381651,65303548,1
671,65329019,1088102134,1
672,65336956,4659607788,1
673,4941618219,4691975713,1
674,65319853,4061806116,1
675,297856532,4406692056,1
676,65303548,2315555384,1
677,65303550,3386704353,1
678,1302773698,4177156436,1
679,4509833260,4759501679,1
680,65288928,65317569,1
681,65322249,65312158,1
682,4061762656,2071280039,1
683,4766859099,590607921,1
684,258886222,65372925,1
685,1792795201,65373497,1
686,4186794508,1250280584,1
687,65317585,1250280556,1
688,65293741,65291580,1
689,420519206,261510687,1
690,258967886,318495235,1
691,65317725,4730235204,1
692,4402491092,1455172157,1
693,4475542320,65314146,1
694,2605799280,65308621,1
695,4019097085,65302739,1
696,65296818,65308621,1
697,300455597,4019576774,1
698,4011962213,4186794505,1
699,3978847384,65318224,1
700,4719395181,300781635,1
701,65327151,2081940977,1
702,65342652,65291738,1
703,3901177318,4002286831,1
704,65312252,763662558,1
705,4008988372,65300069,1
706,4009111013,1792795198,1
707,65361743,300517388,1
708,65319021,4018809897,1
709,4503467079,1260547077,1
710,4503467083,65362987,1
711,4019010389,65306847,1
