,O,D,flow
662,33114,46929,1
663,53047,77765,1
664,20621,76618,1
665,26356,76733,1
666,8991,71511,1
667,48852,71295,1
668,37924,39503,1
669,41888,54102,1
670,48280,41175,1
671,69727,21490,1
672,69727,29839,1
673,67478,4554,1
674,22453,82563,1
675,57134,29337,1
676,40435,35931,1
677,52236,82379,1
678,75749,76810,1
679,29510,41061,1
680,23750,76124,1
681,22494,53029,1
682,34778,12350,1
683,32622,58248,1
684,38856,33560,1
685,18667,20844,1
686,45185,49153,1
687,36839,64875,1
688,81054,48957,1
689,42598,79165,1
690,9310,29989,1
691,58379,17694,1
692,26564,26566,1
693,66123,42598,1
694,63935,78407,1
695,31031,71411,1
696,20801,71411,1
697,58035,28953,1
698,64815,61270,1
699,64823,20030,1
700,55592,28896,1
701,30218,76038,1
702,71433,69170,1
703,69340,42687,1
704,75931,14619,1
705,74060,39236,1
706,64230,68841,1
707,71908,72365,1
708,17379,70848,1
709,76288,1132,1
710,3731,32707,1
711,2287,70980,1
712,52546,32892,1
713,62559,72737,1
714,38548,11546,1
715,31212,29520,1
716,49241,79420,1
717,76867,77726,1
718,55053,81203,1
719,16315,3225,1
720,49514,6707,1
721,58220,54899,1
722,34503,11874,1
723,25299,51577,1
724,72537,44754,1
725,73148,8603,1
726,42583,77879,1
727,73279,79079,1
728,7179,48144,1
729,50070,73547,1
730,11177,40649,1
731,72582,65601,1
732,28454,65601,1
733,60058,65601,1
734,52856,37913,1
735,76798,64174,1
736,3939,28200,1
737,69862,45257,1
738,55671,15831,1
739,48751,39195,1
740,66838,32226,1
741,33670,2528,1
742,63718,24648,1
743,18976,74655,1
744,47100,72720,1
745,6186,14711,1
746,63534,18362,1
747,6186,69439,1
748,54659,74494,1
749,39236,2832,1
750,75100,38856,1
751,37031,79409,1
752,711,38658,1
753,2349,48172,1
754,14657,54111,1
755,73271,43842,1
756,59546,46179,1
757,32019,59537,1
758,66633,6120,1
759,70153,60391,1
760,75616,16983,1
761,14266,65119,1
762,67552,45731,1
763,33296,69801,1
764,137,68256,1
765,66883,29025,1
766,23508,42428,1
767,76674,28535,1
768,53973,35758,1
769,62820,78673,1
770,43059,57067,1
771,7902,78107,1
772,47820,69087,1
773,38622,54190,1
774,27521,74747,1
775,9965,33829,1
776,3514,74807,1
777,33393,64084,1
778,3318,74816,1
779,69788,11754,1
780,59511,38078,1
781,47906,57286,1
782,48229,25940,1
783,22045,45410,1
784,74073,66065,1
785,11093,12122,1
786,53460,3131,1
787,4408,47285,1
788,28972,1122,1
789,6268,6377,1
790,6377,75668,1
791,59075,78944,1
792,23172,7212,1
793,67909,59859,1
794,23947,19821,1
795,21993,6614,1
796,79761,39797,1
797,25344,39236,1
798,25344,68841,1
799,25690,75805,1
800,22703,16845,1
801,22703,3731,1
802,463,2287,1
803,35444,52546,1
804,12122,2287,1
805,32895,50862,1
806,13976,55384,1
807,51422,27770,1
808,6034,60775,1
809,51854,43170,1
810,77694,11754,1
811,23401,66360,1
812,6451,48258,1
813,804,29021,1
814,4266,75363,1
815,54853,77879,1
816,32816,42125,1
817,33121,66992,1
818,18524,52486,1
819,23852,36974,1
820,82501,72053,1
821,47321,54094,1
822,63607,34928,1
823,6380,4219,1
824,49486,70021,1
825,16471,24699,1
826,42236,27770,1
827,51789,18592,1
828,80890,58436,1
829,72353,21061,1
830,37050,53921,1
831,54134,65935,1
832,32530,45456,1
833,77174,26233,1
834,77027,76938,1
835,6603,76192,1
836,6289,9558,1
837,9268,75663,1
838,52911,33848,1
839,51309,17524,1
840,69425,33275,1
841,28100,26227,1
842,24338,42342,1
843,44170,42546,1
844,16521,32673,1
845,39736,70105,1
846,65861,30608,1
847,71070,24378,1
848,32573,53693,1
849,37662,3279,1
850,18212,5523,1
851,66205,19234,1
852,6311,24494,1
853,6311,15333,1
854,61982,32471,1
855,30214,40255,1
856,27723,75422,1
857,66267,20616,1
858,68656,82212,1
859,74134,18923,1
860,12119,53041,1
861,82364,7070,1
862,32707,38977,1
863,19611,25041,1
864,4433,52251,1
865,28277,36996,1
866,45958,19806,1
867,60391,32867,1
868,51422,70227,1
869,27648,43237,1
870,63141,70141,1
871,11770,64709,1
872,75204,80280,1
873,74714,43305,1
874,27442,53648,1
875,8612,30616,1
876,69956,36167,1
877,74883,6326,1
878,64321,83235,1
879,6542,61581,1
880,14410,27755,1
881,18938,46151,1
882,31887,64162,1
883,28768,49731,1
884,25786,80419,1
885,26034,4487,1
886,1309,2448,1
887,746,66516,1
888,44016,22193,1
889,62440,67475,1
890,74825,54900,1
891,17441,60841,1
892,38067,55352,1
893,20480,20159,1
894,41037,70425,1
895,78707,42546,1
896,23750,42342,1
897,33759,43057,1
898,22494,7212,1
899,941,61312,1
900,31447,61312,1
901,77341,42581,1
902,49920,21900,1
903,23713,42555,1
904,50485,70061,1
905,19038,4303,1
906,50485,4303,1
907,67092,30798,1
908,36932,30291,1
909,23901,30798,1
910,62289,49920,1
911,47757,54437,1
912,52740,39111,1
913,941,60616,1
914,68549,65164,1
915,68597,62738,1
916,56682,49731,1
917,69057,33759,1
918,43992,68392,1
919,7048,59401,1
920,46929,48321,1
921,18414,59010,1
922,57558,9558,1
923,22217,21132,1
924,58959,51422,1
925,47608,63252,1
926,11581,733,1
927,55242,57593,1
928,10646,67721,1
929,75296,54437,1
930,63283,45223,1
931,72625,35154,1
932,69122,3552,1
933,32242,11343,1
934,43157,47971,1
935,2850,66373,1
936,44754,73874,1
937,36374,60910,1
938,77724,50088,1
939,82573,75916,1
940,18212,5716,1
941,18212,69871,1
942,55551,80321,1
943,11995,26661,1
944,37130,34838,1
945,50682,15737,1
946,68235,7522,1
947,40254,4408,1
948,19395,4408,1
949,77446,40563,1
950,22621,26444,1
951,3161,19333,1
952,12143,19190,1
953,72107,30349,1
954,51204,30530,1
955,59182,4964,1
956,52691,17128,1
957,20030,44170,1
958,27944,13487,1
959,64709,25907,1
960,61270,13487,1
961,70141,24099,1
962,3731,24338,1
963,20030,25907,1
964,49325,29670,1
965,53939,37568,1
966,71693,17838,1
967,54337,16379,1
968,53042,68161,1
969,42234,54292,1
970,759,78735,1
971,51435,13487,1
972,48409,69228,1
973,60549,51985,1
974,47881,58861,1
975,9783,59958,1
976,58721,42621,1
977,42801,6988,1
978,41136,44224,1
979,72063,19023,1
980,23128,76857,1
981,63024,34871,1
982,12451,46943,1
983,23508,42401,1
984,72526,61975,1
985,68366,1055,1
986,48172,76686,1
987,32087,51393,1
988,595,18364,1
989,30633,14821,1
990,75202,53309,1
991,57855,75885,1
992,17966,75885,1
993,80336,2287,1
994,17966,3731,1
