"year","group_mode","group_purpose","odistrict","downtown","soma","n_beach_and_chinatown","western_market","mission_and_potrero","noe_and_glen_and_bernal","marina_and_n_heights","richmond","bayshore","outer_mission","hill_districts","sunset","south_bay","east_bay","north_bay"
"2050","transit","discretionary","Bayshore",6634.0,1618.0,905.0,578.0,1812.0,567.0,287.0,93.0,2408.0,642.0,258.0,430.0,577.0,420.0,13.0
"2050","uber/lyft","total","Sunset",1441.0,1313.0,728.0,995.0,752.0,252.0,479.0,622.0,147.0,651.0,733.0,3797.0,696.0,46.0,17.0
"2050","uber/lyft","mandatory","North Bay",132.0,111.0,118.0,44.0,43.0,2.0,59.0,11.0,2.0,3.0,4.0,11.0,9.0,211.0,4486.0
"2050","total","discretionary","Mission/Potrero",43683.0,47261.0,12831.0,30870.0,131493.0,23674.0,11388.0,5435.0,32066.0,13517.0,8462.0,13207.0,23428.0,13566.0,2353.0
"2015","uber/lyft","total","Noe/Glen/Bernal",556.0,292.0,334.0,487.0,646.0,522.0,193.0,48.0,217.0,211.0,221.0,178.0,119.0,26.0,6.0
"2050","walk/bike","total","Mission/Potrero",13282.0,19718.0,2541.0,10116.0,64673.0,6916.0,1954.0,390.0,3883.0,877.0,1064.0,1017.0,496.0,0.0,19.0
"2050","transit","discretionary","South Bay",4312.0,1022.0,657.0,547.0,1019.0,392.0,294.0,152.0,530.0,860.0,377.0,946.0,103804.0,2567.0,37.0
"2050","drive","total","Mission/Potrero",23807.0,27874.0,9839.0,23476.0,81360.0,19616.0,11819.0,6730.0,34296.0,14632.0,9516.0,16019.0,38839.0,23801.0,4834.0
"2050","walk/bike","total","Downtown",137582.0,39272.0,34777.0,17261.0,13991.0,1204.0,11248.0,1379.0,924.0,399.0,524.0,1060.0,341.0,2.0,71.0
"2050","total","discretionary","Outer Mission",7934.0,4820.0,2139.0,6238.0,13121.0,10850.0,2682.0,2831.0,17312.0,55177.0,16434.0,24153.0,39181.0,3607.0,763.0
"2015","transit","total","Hill Districts",5590.0,1378.0,1278.0,2064.0,2120.0,933.0,834.0,659.0,749.0,1749.0,1475.0,2390.0,1622.0,1217.0,70.0
"2015","walk/bike","mandatory","Downtown",35456.0,6961.0,10710.0,4787.0,3224.0,670.0,4183.0,837.0,350.0,220.0,291.0,669.0,189.0,1.0,50.0
"2050","uber/lyft","total","Marina/N. Heights",6761.0,3774.0,5565.0,3277.0,1473.0,246.0,3996.0,705.0,157.0,114.0,150.0,473.0,185.0,175.0,71.0
"2050","transit","discretionary","Marina/N. Heights",7122.0,1334.0,2196.0,2074.0,1075.0,426.0,2861.0,1399.0,289.0,328.0,346.0,1030.0,332.0,1123.0,230.0
"2015","drive","discretionary","Western Market",9682.0,4917.0,4344.0,23111.0,14475.0,6568.0,12341.0,9067.0,4245.0,4184.0,4926.0,12030.0,8214.0,4992.0,2753.0
"2015","transit","total","Bayshore",8231.0,2229.0,1683.0,889.0,2059.0,792.0,447.0,164.0,3323.0,979.0,764.0,724.0,1504.0,1142.0,83.0
"2050","drive","total","Outer Mission",5892.0,5154.0,2176.0,6506.0,14529.0,10023.0,3224.0,3453.0,18478.0,38202.0,14925.0,24304.0,48023.0,6238.0,1469.0
"2015","transit","mandatory","Sunset",8147.0,1568.0,1514.0,1749.0,1418.0,547.0,1017.0,1110.0,562.0,1179.0,1737.0,4784.0,1867.0,1312.0,167.0
"2050","uber/lyft","mandatory","Richmond",561.0,411.0,310.0,186.0,106.0,14.0,165.0,85.0,14.0,15.0,26.0,109.0,43.0,18.0,12.0
"2015","total","discretionary","N. Beach/Chinatown",53042.0,10013.0,59153.0,10404.0,9439.0,2268.0,21048.0,4001.0,2842.0,1421.0,1158.0,3068.0,4318.0,7458.0,2898.0
"2050","transit","mandatory","Hill Districts",4218.0,2562.0,875.0,1702.0,2407.0,741.0,765.0,569.0,1187.0,1254.0,1113.0,2373.0,1630.0,1084.0,75.0
"2015","transit","total","Western Market",20890.0,3720.0,3946.0,5795.0,3605.0,1497.0,3443.0,1895.0,894.0,1070.0,2075.0,3444.0,1944.0,3641.0,427.0
"2015","total","mandatory","North Bay",11084.0,3534.0,4399.0,2934.0,3061.0,808.0,4921.0,2728.0,1318.0,711.0,1032.0,3362.0,6575.0,69530.0,759032.0
"2050","drive","total","Western Market",15517.0,11276.0,7152.0,31586.0,23819.0,8372.0,18639.0,13197.0,8276.0,6451.0,7388.0,19144.0,16346.0,11641.0,5731.0
"2015","total","mandatory","Bayshore",8932.0,3930.0,2791.0,2558.0,6948.0,3429.0,1657.0,950.0,14835.0,4038.0,2764.0,3038.0,14537.0,6793.0,1262.0
"2050","drive","total","Marina/N. Heights",14150.0,7405.0,11672.0,18490.0,12028.0,3677.0,27413.0,14283.0,4500.0,3332.0,3496.0,11473.0,10866.0,10316.0,8515.0
"2015","uber/lyft","discretionary","North Bay",7.0,7.0,23.0,8.0,0.0,1.0,9.0,10.0,0.0,1.0,0.0,3.0,0.0,112.0,12496.0
"2015","walk/bike","discretionary","South Bay",66.0,37.0,25.0,51.0,117.0,124.0,21.0,40.0,572.0,2290.0,269.0,612.0,627311.0,375.0,12.0
"2015","uber/lyft","discretionary","Outer Mission",91.0,54.0,45.0,96.0,149.0,200.0,27.0,21.0,166.0,670.0,262.0,241.0,290.0,2.0,0.0
